o_orderkey,o_custkey,o_orderpriority,o_comment
1764,283,1-URGENT,. slyly final packages integrate carefully acro
1765,727,4-NOT SPECIFIED, regular excuses wake slyly
1766,1385,2-HIGH,unusual deposits affix quickly beyond the carefully s
1767,247,2-HIGH,eposits use carefully carefully regular platelets. quickly regular packages al
1792,472,5-LOW,ructions haggle along the pending packages. carefully speci
1793,178,4-NOT SPECIFIED,regular packages cajole. blithely special packages according to the final d
1794,1396,1-URGENT,ally silent pinto beans. regular package
1795,928,2-HIGH, quickly final packages! blithely dogged accounts c
1796,463,2-HIGH,eans use furiously around th
1797,1243,3-MEDIUM,quiet platelets haggle since the quickly ironic instructi
1798,517,1-URGENT,al foxes are blithe
1799,601,4-NOT SPECIFIED,ns sleep furiously final waters. blithely regular instructions h
1824,482,1-URGENT,e blithely fluffily
1825,1465,3-MEDIUM,"ironic, final accou"
1826,814,4-NOT SPECIFIED,"the even asymptotes dazzle fluffily slyly regular asymptotes. final, unu"
1827,1051,4-NOT SPECIFIED,luffily even requests haggle sly
1828,314,3-MEDIUM,y quickly bold packag
1829,1114,2-HIGH, accounts wake above the furiously unusual requests. pending package
1830,1315,1-URGENT,"according to the even,"
1831,706,1-URGENT, accounts. carefully even accounts boost furiously. regular ideas engage. 
1856,1045,4-NOT SPECIFIED,. special pinto beans run acr
1857,1321,2-HIGH,hely final ideas slee
1858,1423,1-URGENT,thely. slyly final deposits sleep
1859,598,4-NOT SPECIFIED, the foxes. bravely special excuses nag carefully special r
1860,97,3-MEDIUM,osits. quickly bold deposits according to 
1861,685,3-MEDIUM,r the fluffily close sauternes. furio
1862,325,5-LOW,ts snooze ironically abou
1863,731,4-NOT SPECIFIED,"old sentiments. careful, "
1888,1192,4-NOT SPECIFIED,olites. pinto beans cajole. regular deposits affix. slyly regular
1889,244,1-URGENT,p around the regular notornis. unusual deposits
1890,95,4-NOT SPECIFIED,"romise final, regular deposits. regular fox"
1891,610,5-LOW,unusual foxes sleep regular deposits. requests wake special pac
1892,235,5-LOW,"sts. slyly regular dependencies use slyly. ironic, spec"
1893,1244,2-HIGH,"olites. silent, special deposits eat slyly quickly express packages; hockey p"
1894,751,1-URGENT,e furiously. furiously even accounts are slyly final accounts. closely speci
1895,67,3-MEDIUM,ress accounts. bold accounts cajole. slyly final pinto beans poach regul
1920,1096,5-LOW,hely; furiously regular excuses
1921,862,3-MEDIUM,counts. slyly quiet requests along the ruthlessly regular accounts are 
1922,556,3-MEDIUM,side of the blithely final re
1923,1345,1-URGENT, express dolphins. 
1924,748,4-NOT SPECIFIED, of the ironic accounts. instructions near the final instr
1925,167,1-URGENT,e slyly regular deposits. furiously 
1926,931,2-HIGH,cajole. even warhorses sleep carefully. 
1927,1399,3-MEDIUM,riously special packages. permanent pearls wake furiously. even packages alo
1952,662,2-HIGH, silent accounts boost 
1953,1495,3-MEDIUM, fluffily along the quickly even packages. 
1954,559,4-NOT SPECIFIED, unusual excuses cajole according to the blithely regular theodolites.
1955,121,1-URGENT,ly special ideas. sometimes final 
1956,1258,4-NOT SPECIFIED,ironic ideas are silent ideas. furiously final deposits sleep slyly carefu
1957,302,2-HIGH,nding excuses about the 
1958,523,5-LOW, haggle blithely. flu
1959,424,4-NOT SPECIFIED, cajole about the blithely express requests. even excuses mold bl
1984,508,1-URGENT, slyly special instructions. unusual foxes use packages. carefully regular req
1985,59,4-NOT SPECIFIED,slyly slyly even pains. slyly reg
1986,1486,2-HIGH,across the theodolites. quick
1987,982,2-HIGH,gular platelets alongside 
1988,1075,4-NOT SPECIFIED,ly ironic dolphins serve quickly busy accounts. bu
1989,1162,4-NOT SPECIFIED,ely bold pinto beans ha
1990,1181,2-HIGH,e bold patterns. always regul
1991,187,4-NOT SPECIFIED,"ing accounts can haggle at the carefully final Tiresias-- pending, regular"
2016,76,3-MEDIUM,"the carefully ironic foxes. requests nag bold, r"
2017,1006,3-MEDIUM,nusual requests. blit
2018,176,4-NOT SPECIFIED,gular accounts wake fur
2019,1342,1-URGENT, furiously bold packages. fluffily fi
2020,725,3-MEDIUM,es. furiously regular packages above the furiously special theodolites are a
2021,700,1-URGENT,ong the furiously regular requests. unusual deposits wake fluffily inside
2022,619,1-URGENT," dependencies sleep fluffily even, ironic deposits. express, silen"
2023,1180,5-LOW,ular courts engage according to the
2048,169,1-URGENT,s cajole after the blithely final accounts. f
2049,298,2-HIGH,ly regular requests thrash blithely about the fluffily even theodolites. r
2050,274,4-NOT SPECIFIED,d accounts against the furiously regular packages use bli
2051,382,4-NOT SPECIFIED,ctions sleep blithely. blithely regu
2052,895,2-HIGH," requests sleep around the even, even courts. ironic theodolites affix furious"
2053,1406,1-URGENT,ar requests: blithely sly accounts boost carefully across t
2054,401,4-NOT SPECIFIED,l requests affix carefully about the furiously special
2055,970,1-URGENT,. warhorses affix slyly blithely express instructions? fur
2080,946,5-LOW,"ironic, pending theodolites are carefully about the quickly regular theodolite"
2081,1193,2-HIGH,ong the regular theo
2082,487,2-HIGH,"cial accounts. ironic, express dolphins nod slyly sometimes final reques"
2083,1009,3-MEDIUM,"al patterns. bold, final foxes nag bravely about the furiously express"
2084,800,2-HIGH,"zle furiously final, careful packages. slyly ironic ideas amo"
2085,488,3-MEDIUM,"ress, express ideas haggle"
2086,1405,1-URGENT, permanently regular
2087,493,2-HIGH,e always regular packages nod against the furiously spec
2112,634,2-HIGH,against the slyly even id
2113,319,2-HIGH,slyly regular instruct
2114,787,5-LOW,"r, unusual accounts haggle across the busy platelets. carefully "
2115,1042,4-NOT SPECIFIED,odolites boost. carefully regular excuses cajole. quickly ironic pinto be
2116,223,1-URGENT,efully after the asymptotes. furiously sp
2117,220,2-HIGH,ely even dependencies. regular foxes use blithely.
2118,1333,1-URGENT,ial requests wake carefully special packages. f
2119,622,2-HIGH,uickly pending escapades. fluffily ir
2144,1348,3-MEDIUM,t. carefully quick requests across the deposits wake regu
2145,1336,1-URGENT,sts would snooze blithely alongside of th
2146,1177,4-NOT SPECIFIED,ven packages. dependencies wake slyl
2147,988,4-NOT SPECIFIED, haggle carefully furiously final foxes. pending escapades thrash. bold theod
2148,1283,4-NOT SPECIFIED,ross the furiously unusual theodolites. always expre
2149,1007,5-LOW,nusual accounts nag furiously special reques
2150,817,3-MEDIUM,"ect slyly against the even, final packages. quickly regular pinto beans wake c"
2151,580,3-MEDIUM,c requests. ironic platelets cajole across the quickly fluffy deposits.
2176,1036,1-URGENT,s haggle regularly accor
2177,1351,3-MEDIUM,ove the blithely unusual packages cajole carefully fluffily special request
2178,80,3-MEDIUM,thely according to the instructions. furious
2179,410,2-HIGH,ounts alongside of the furiously unusual braids cajol
2180,751,4-NOT SPECIFIED,"xpress, unusual pains. furiously ironic excu"
2181,742,3-MEDIUM,"y against the ironic, even"
2182,226,2-HIGH,ccounts. quickly bold deposits across the excuses sl
2183,1121,1-URGENT," among the express, ironic packages. slyly ironic platelets integrat"
2208,676,4-NOT SPECIFIED,symptotes wake slyly blithely unusual packages.
2209,892,2-HIGH,er above the slyly silent requests. furiously reg
2210,319,2-HIGH, believe carefully quickly express pinto beans. deposi
2211,920,2-HIGH,ffily bold courts e
2212,1163,3-MEDIUM,structions above the unusual requests use fur
2213,1213,4-NOT SPECIFIED,osits are carefully reg
2214,1141,3-MEDIUM,packages. fluffily even accounts haggle blithely. carefully ironic depen
2215,388,4-NOT SPECIFIED,"le final, final foxes. quickly regular gifts are carefully deposit"
2240,554,4-NOT SPECIFIED,accounts against the slyly express foxes are after the slyly regular 
2241,1013,1-URGENT,y about the silent excuses. furiously ironic instructions along the sil
2242,815,4-NOT SPECIFIED, pending multipliers. carefully express asymptotes use quickl
2243,479,2-HIGH,ously regular deposits integrate s
2244,1268,1-URGENT,"ckages. ironic, ironic accounts haggle blithely express excuses. "
2245,565,3-MEDIUM,ake carefully. braids haggle slyly quickly b
2246,1124,4-NOT SPECIFIED, final gifts sleep 
2247,947,4-NOT SPECIFIED,furiously regular packages. final brai
2272,1384,2-HIGH,"s. bold, ironic pinto beans wake. silently specia"
2273,1343,5-LOW,uickly express foxes haggle quickly against
2274,1040,4-NOT SPECIFIED,nstructions try to hag
2275,1484,4-NOT SPECIFIED, furiously furious platelets. slyly final packa
2276,415,4-NOT SPECIFIED,ecial requests. fox
2277,889,4-NOT SPECIFIED,accounts cajole. even i
2278,1406,3-MEDIUM,r pinto beans integrate after the carefully even deposits. blit
2279,794,3-MEDIUM,de of the quickly unusual instructio
2304,451,4-NOT SPECIFIED,onic platelets. ironic packages haggle. packages nag doggedly according to
2305,421,2-HIGH,ove the furiously even acco
2306,268,2-HIGH, wake furiously requests. permanent requests affix. final packages caj
2307,1042,5-LOW,furiously even asymptotes? carefully regular accounts
2308,239,4-NOT SPECIFIED,ts. slyly final depo
2309,997,5-LOW,he carefully pending packages. fluffily stealthy foxes engage carefully
2310,304,5-LOW,"wake carefully. unusual instructions nag ironic, regular excuse"
2311,718,2-HIGH,ly pending asymptotes-- furiously bold excus
2336,1414,4-NOT SPECIFIED,"c, final excuses sleep furiously among the even theodolites. f"
2337,1402,4-NOT SPECIFIED, quickly. final accounts haggle. carefully final acco
2338,1394,2-HIGH,"riously final dugouts. final, ironic packages wake express, ironic id"
2339,1084,5-LOW, against the regular 
2340,646,1-URGENT,ter the deposits sleep according to the slyly regular packages. carefully 
2341,817,5-LOW,sts-- blithely bold dolphins through the deposits nag blithely carefully re
2342,365,1-URGENT,oost carefully across the regular accounts. blithely final d
2343,712,3-MEDIUM,fluffily over the slyly special deposits. quickl
2368,130,1-URGENT,t the bold instructions. carefully unusual 
2369,1097,2-HIGH,"iously even requests are dogged, express "
2370,1405,1-URGENT,lyly final packages. quickly final deposits haggl
2371,187,1-URGENT,ckages haggle at th
2372,292,5-LOW,s: deposits haggle along the final ideas. careful
2373,263,4-NOT SPECIFIED," even, special courts grow quickly. pending,"
2374,40,4-NOT SPECIFIED, blithely regular packages. blithely unusua
2375,49,3-MEDIUM,"unusual, pending theodolites cajole carefully "
2400,364,5-LOW,nusual courts nag against the carefully unusual pinto b
2401,1477,4-NOT SPECIFIED,ully unusual instructions boost carefully silently regular requests. 
2402,658,4-NOT SPECIFIED,slyly final sheaves sleep slyly. q
2403,544,3-MEDIUM,furiously regular deposits use. furiously unusual accounts wake along the 
2404,767,4-NOT SPECIFIED,deposits breach furiously. ironic foxes haggle carefully bold packag
2405,713,3-MEDIUM,"ular, regular asympto"
2406,67,5-LOW,blithely regular accounts u
2407,536,2-HIGH,uests affix slyly among the slyly regular depos
2432,1021,1-URGENT,re. slyly even deposits wake bra
2433,299,4-NOT SPECIFIED,ess patterns are slyly. packages haggle carefu
2434,238,3-MEDIUM,s. quickly ironic dolphins impress final deposits. blithel
2435,715,5-LOW,es are carefully along the carefully final instructions. pe
2436,1250,4-NOT SPECIFIED,arefully. blithely bold deposits affix special accounts. final foxes nag. spe
2437,844,4-NOT SPECIFIED,". theodolites wake slyly-- ironic, pending platelets above the carefully exp"
2438,127,2-HIGH,"the final, regular warhorses. regularly "
2439,541,2-HIGH,lithely after the car
2464,1450,5-LOW,le about the instructions. courts wake carefully even
2465,325,1-URGENT,"al pinto beans. final, bold packages wake quickly"
2466,181,1-URGENT,"c pinto beans. express deposits wake quickly. even, final courts nag. package"
2467,343,4-NOT SPECIFIED,pades sleep furiously. sometimes regular packages again
2468,1109,4-NOT SPECIFIED,ickly regular packages. slyly ruthless requests snooze quickly blithe
2469,1229,5-LOW, sleep closely regular instructions. furiously ironic instructi
2470,563,3-MEDIUM,to the furiously final packages? pa
2471,884,4-NOT SPECIFIED,carefully blithely regular pac
2496,1342,2-HIGH,slyly. pending instructions sleep. quic
2497,470,1-URGENT,ily ironic pinto beans. furiously final platelets alongside of t
2498,959,5-LOW,g the slyly special pinto beans. 
2499,1210,1-URGENT,r the quickly bold foxes. bold instructi
2500,1330,2-HIGH,integrate slyly pending deposits. furiously ironic accounts across the s
2501,665,5-LOW,ickly special theodolite
2502,694,4-NOT SPECIFIED,lyly: carefully pending ideas affix again
2503,67,3-MEDIUM,"ly even packages was. ironic, regular deposits unwind furiously across the p"
2528,550,1-URGENT,ular dependencies? regular frays kindle according to the blith
2529,1349,2-HIGH,posits across the silent instructions wake blithely across 
2530,1271,3-MEDIUM,ular instructions about the quic
2531,434,4-NOT SPECIFIED,even accounts. furiously ironic excuses sleep fluffily. carefully silen
2532,937,2-HIGH,"the blithely pending accounts. regular, regular excuses boost aro"
2533,496,1-URGENT,ecial instructions. spec
2534,754,3-MEDIUM,packages cajole ironic requests. furiously regular
2535,1202,5-LOW,phins cajole beneath the fluffily express asymptotes. c
2560,1309,1-URGENT,atelets; quickly sly requests
2561,572,1-URGENT,"ual requests. unusual deposits cajole furiously pending, regular platelets. "
2562,82,1-URGENT,elets. pending dolphins promise slyly. bo
2563,613,4-NOT SPECIFIED,sly even packages after the furio
2564,761,2-HIGH,usly regular pinto beans. orbits wake carefully. slyly e
2565,554,3-MEDIUM,x-ray blithely along
2566,856,3-MEDIUM,ructions boost bold ideas. idly ironic accounts use according to th
2567,694,2-HIGH,detect. furiously ironic requests
2592,1006,4-NOT SPECIFIED,ts nag fluffily. quickly stealthy theodolite
2593,913,2-HIGH,r the carefully final
2594,776,1-URGENT,ests. theodolites above the blithely even accounts detect furio
2595,737,4-NOT SPECIFIED,arefully ironic requests nag carefully ideas. 
2596,424,1-URGENT,"requests. ironic, bold theodolites wak"
2597,1036,2-HIGH,iously ruthless exc
2598,1120,3-MEDIUM, ironic notornis according to the blithely final requests should 
2599,1483,2-HIGH,ts. slyly regular theodolites wake sil
2624,512,5-LOW,"ic, regular packages"
2625,382,4-NOT SPECIFIED, final deposits. blithely ironic ideas 
2626,1372,4-NOT SPECIFIED,gside of the carefully special packages are furiously after the slyly express 
2627,1486,3-MEDIUM,"s. silent, ruthless requests"
